category,idiom,variant_id,prefix,expected_literal,expected_figurative,alpha_factor,sample_i,continuation,label
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,0.0,3," and keep warm. He didn’t know how long he had been there. His watch was missing and he had no idea if it was still night or morning. The fire was burning low, and he was running out of wood. He decided to move",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,0.0,4,". He needed to get warm. He hadn’t expected the weather to be so cold and he hadn’t thought to bring a jacket or anything to cover himself.
He was dressed in his usual clothes, a pair of jeans and a T-shirt. His",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,1.2,0,". It was 10:30 p.m. when he came to the edge of the fire and stood for a moment, breathing in the warm night air. The smoke was still rising from the fire, but it was not as thick as it had",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,1.2,1,".
The fire was spreading quickly and the men were in danger of being overcome. David prayed to God and God sent an angel to put out the fire. David then went back to his work, and God gave him the plans for building the temple.",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,1.2,2,". He did not know that the flames had spread to the roof, and that the structure was about to collapse. As he ran for his life, David was struck by a beam of wood. He was knocked unconscious, but survived. The fire was",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,1.2,3," with more wood and more kindling. As the flames grew larger, David could see the outline of his opponent’s body, but he was unable to make out the man’s face. David continued to stare, hoping that he could see enough to know",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,1.2,4,".
It was the only time the night was still.
The wind had been howling and the rain was heavy.
The fire had burned low, and he was about to call it quits.
He added more wood to the fire and sat down.
The",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,2.39,0," with an array of tracks, and after a while he decided to include the track he had been working on all night, ‘The End of the World’. It was a dark, moody track that was perfect for the film, and it was a",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,2.39,1,". He had to stop for a break to eat some bread and cheese, but he was still at it when the moon came up.
As he worked he thought about his life. He was 29 years old and had been married for five years.",INCOHERENT
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,2.39,2,", and the fire continued to rage.
A fire raged on in the heart of the city for three days.
The fire raged through the night and burned out of control.
The fire raged through the night.
The fire raged through the",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,2.39,3,".
I’m a little worried about my brother. I haven’t seen him in a while, and I’m worried that he might be in trouble. I don’t want to go over there, but I have to do something.
What are you going",INCOHERENT
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,2.39,4,". He'd never seen so many trees. The old man had been telling the truth, but David had thought that the old man was just another one of those people who liked to exaggerate. The night air was cool, but David was working up",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,3.59,0,".
He had a big surprise for his mother and father when he got home that evening.
He brought home his fiancée, and then he invited them to meet her.
They were surprised, but pleased.
David’s father said, “I have",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,3.59,1,". He had been doing so for months. He had been doing so for years. He had been doing so for decades. He had been doing so for his whole life.
He had been doing it for his whole life. He had been doing it",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,3.59,2,". The next morning, as the sun rose and the temperature climbed, he was back on the job.
That was when he discovered that the tree had been struck by lightning. As he got to work, David found the tree’s bark was on fire",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,3.59,3,". It was a great time to be a Christian. I was able to go to church every Sunday and Sunday School every Wednesday night. I was a member of the youth group, which met every Friday night. We had a lot of fun and learned",INCOHERENT
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,3.59,4,". This time, he was feeding a man who was homeless. David had met the man at a local homeless shelter and they had been talking for a while. It had been a few days since David had last seen the man and he was really hungry",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,4.78,0,". I had never heard of a person having a job like that, so I asked him about it. He said it was something he had to do to help support his family.
I asked if he was a member of the church. He said he",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,4.78,1,". The sun would rise before he was finished, and he would have to work until he was too tired to continue. The first time he was working in the cold, he almost froze to death.
When he was finished, he was so tired he",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,4.78,2,", and by the time he got home the next day, he was exhausted. The only thing he wanted to do was to sleep. He had his bed and his laptop, but he couldn’t bring himself to open the laptop. He was afraid that",LITERAL
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,4.78,3,". He had a vision of the future, of a time when the church would be known as the church of the night. He knew that in the last days, it would be nightfall, or darkness, that the church would be at its most",FIGURATIVE
Conventional Metaphor,feed the fire,1,"Working outside late at night, David continued to feed the fire",with dry cedar logs to keep the outdoor oven hot.,by releasing more aggressive statements to the press.,4.78,4,". He was working on a big project. It was 1:30 am. He was tired, but he didn’t want to leave until it was done. He had to get up at 5:00 am. The project was almost done",FIGURATIVE
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-4.78,0, grass to his daughter. He had been doing so for many years and had not seen a change in the situation. He was a good man and had never stopped trying to do what he could to help his daughter. She was mentally challenged and he had,LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-4.78,1," that had been his companion for the past seven years. A white rabbit. It was a beautiful animal, but he had always found it odd. The rabbit was so strange. It was like the rabbit had a mind of its own. It was like",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-4.78,2," box in his wood stove. The fire had burned down to a small bed of coals and ash, but it was still hot enough to keep the house warm. His wife was still asleep on the bed in the corner, her back to him as",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-4.78,3," of the fire. The fire was the fire of the world, the fire of the world was the fire of the world, and the fire of the world was the fire of the world. It was the fire of the world, the fire of the",FIGURATIVE
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-4.78,4," and the dog, and he was a bit more familiar with his own dog. When he looked at the dog, his face was filled with emotion. I looked at the dog for a long time, and I felt that the dog was a bit familiar",INCOHERENT
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-3.59,0,"less fire. A cold rain was falling, and the only sound was the clatter of the wet ashes in the metal bucket. The man looked up, his face expressionless.
“I am glad you came, my son. I thought you were dead",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-3.59,1," to the fire. His eyes were like a fire, and his whole body was full of life. He was the only person in the whole world. In the world, he was the only person who was not afraid of death. He did not feel",INCOHERENT
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-3.59,2," that was about to die. He had just finished his dinner and was sitting down to read the paper. The evening was calm and peaceful, and the birds were singing their usual song. The man sat down on the sofa and began to read the newspaper",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-3.59,3," of hope and faith to his heart. The man’s faith was a gift from God. It was his only weapon to combat the demons that tormented him.
“God, I pray for my family, my friends, and my enemies. I pray",FIGURATIVE
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-3.59,4, of his anger. He was angry with God and angry with himself. He was angry at his wife and angry with his kids. He was angry at his parents and angry at his friends. He was angry at the world and angry with his job.,FIGURATIVE
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-2.39,0," ants. He was so tired of fighting them. He couldn’t do anything else. He had to fight them. They were killing him.
The ants were getting bigger and bigger. They were swarming and invading the man’s house. They were attacking",INCOHERENT
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-2.39,1," ants, slowly and carefully, as he had done for the past twenty years. He did not see the approaching car, nor did he notice the man in the passenger seat. As the car slowed to a stop, the man in the passenger seat le",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-2.39,2, of his rage. I knew he was a drunk and that he was a little crazy. I also knew that he was about to explode and that there was nothing I could do to stop him. The man was a neighbor and the yard was in his,FIGURATIVE
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-2.39,3,". It was a hot day and he was exhausted from the trip. The little man watched the tired man and waited for him to finish. He was too tired to be afraid.
As the little man watched, he saw a fire in the middle of",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-2.39,4," in the fire pit. The fire pit was the only source of heat in the small house. The man’s name was Jim. He was in his late 30’s, and his hair was gray. He had a long face with deep lines.",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-1.2,0," with his gaze. The fire continued to burn, the flames growing higher and higher. The flames were not only the flames of the fire, but also the flames of his anger. The flames of the fire continued to burn, and the flames of anger",FIGURATIVE
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-1.2,1,", the flames were burning with a faint red, the fire was burning, but it was also slowly disappearing, he was exhausted and wanted to go to bed, but the fire was not enough, he had to continue to feed it.
The man’s",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-1.2,2,", and the old man watched the fire from the side. The old man’s face was dark, and the man was very clear that he was very tired. He was very tired. The man was very tired. He was very tired. He was",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-1.2,3,". It was an old habit that had been passed down to him from his father, who in turn had learned it from his father. The man’s grandfather, father, and even his great-grandfather all had been firefighters. In fact, the only",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,-1.2,4," with dry wood. The wind was blowing, the flames were rising and the sparks were flying. The fire was beginning to burn.
The fire was the man's life. It had been burning for a long time. It was a slow and steady fire",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,0.0,0,". He’d spent the last hour of daylight staring into the flames, watching the fire dance and flicker as it began to die down. He hadn’t heard a peep from the house since he’d entered the yard. He’d been on the",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,0.0,1," with the wood he had gathered. The flames danced and crackled in the fireplace, and the man closed his eyes, leaning back against the hearth.
The fire warmed his face, and he smiled as the warmth spread through his body. His breath",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,0.0,2,".
The sun was setting in the west. The wind had picked up and the man could feel the cold, but he didn’t care.
He had been standing in this spot for a long time, watching the fire grow. He had no idea how",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,0.0,3," with dry wood. The sky was a dark, starless blue, and the wind was strong and cold. The man turned and looked at the house behind him, and then at the yard before him. It was a small, old house, built",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,0.0,4,". The wind blew, and the fire crackled. The man’s face was haggard, his eyes tired and sad. The man’s eyes were red and his hands were calloused. He looked at the fire for a while, and then",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,1.2,0," in his mind. The memories of his past kept flashing, but he didn’t want to see them. He wanted to remember them, but he wanted to forget them. He wanted to remember them because he was afraid of forgetting them. He wanted to",FIGURATIVE
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,1.2,1," with a match.
The match was put out by the wind, but the man was not bothered by it. He continued to throw more matches on the pile, and the flame burned fiercely.
“Who are you? Why did you come to my home",INCOHERENT
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,1.2,2,". The flames were still growing and the man was beginning to feel the heat.
He knew he should have been long gone by now, but something kept him here. Something made him stay and watch. He didn't know what it was.
He had",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,1.2,3,". He had been working with a large fire extinguisher, but the fire was still raging out of control. He was not a trained firefighter, and it was clear that he was not able to handle the fire. The fire was quickly spreading to the",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,1.2,4,". His face was covered in soot, and his shirt and trousers were caked with dirt and ash. He wore a pair of black slippers, which had also been soiled. The man's eyes were bloodshot, and his skin was",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,2.39,0,".
I was still too new to the city to know that he was the most recent in a long line of men who had been standing in the middle of the yard for years, feeding the fire. I was still too new to the city to know",FIGURATIVE
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,2.39,1,".
“Why are you doing this?” he asked.
“Because you said it was a good idea,” the boy replied.
“Why are you doing it?” he persisted.
“Because you said it was a good idea,” the boy repeated.
“",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,2.39,2," with his hands, and his head was lowered.
He didn’t even know that his body was shaking.
He had never expected that this day would come.
He was the one who wanted to see his wife and children.
“Mommy, mommy,",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,2.39,3,". The only thing missing from his monologue was the sound of a child’s laughter.
He had no idea who was listening, but he continued to speak.
“You know, I never really thought about what would happen when my time came,” he said",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,2.39,4,". His hands were stained with the blood of the animals he had just butchered. The man was alone, and the only other living thing in the yard was the calf, which was tied to a post. The man had no one to help him",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,3.59,0,". The only thing that could be heard was the sound of the birds and the leaves crunching under his feet. He had no idea how long he had been standing there, but he knew that he was not going to stop until he had fed the",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,3.59,1,". His hands were shaking, but he had to keep feeding the pigeons. He could not let them starve to death. He had to keep them fed. The pigeons had been his friends for a long time. They had come to him",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,3.59,2,". The sun was high in the sky, and the heat had already begun to burn through the afternoon. The air was thick and hot, and the man was sweating profusely. The sounds of the neighborhood were all around him. Cars honked",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,3.59,3,". He was an elderly man, but he was not old. He was not frail and he was not sick. His eyes were sharp and he walked with a purpose.
It was his son who had died, he said. It was his son who",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,3.59,4,". His back was straight and he looked up with a tired, uninterested gaze, as if he were bored with the whole thing. He had been doing this for 11 years and it was now time to move on. His time was up.",INCOHERENT
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,4.78,0,". The grass was brown and dry, but the weeds were green and healthy. The flowers were long gone and the trees were bare. The man was still feeding the plants. He knew the plants would be hungry for the first few months, but he",LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,4.78,1,. It was obvious that he was in a bad mood and the man’s wife was doing her best to keep him from losing his temper. The wife stood on the porch and yelled at the man to stop feeding the birds. The man ignored her and,LITERAL
Conventional Metaphor,feed the fire,2,"Standing in the center of the quiet yard, the tired man continued to feed the fire",with broken wooden beams to keep everyone warm.,by shouting insults at the people walking away.,4.78,2,".
The little girl stood by his side, her head lowered, and her feet slightly apart. She held a shovel in one hand, and a bucket in the other. She had a smile on her face and a sparkle in her eye.
The old",LITERAL
