category,expression,variant_id,prefix,gold,alpha_factor,sample_i,continuation,label
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-2.39,0," a few more sticks of kindling. The flames were dying down, and he wanted to keep the fire burning all night. It was the only way he could keep his mind off of the strange dreams he'd been having. He had the strangest",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-2.39,1," with a few more logs.
The fire, which was already blazing, spread with the addition of the new fuel. The fire was so bright, it lit up the night sky.
But then, as the flames began to lick at the sky, the",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-2.39,2,". He knew what the fire was saying, he could feel it. He knew that it was time to go. He was a wanderer, he had to wander. He had to be free, and he could never be free if he stayed.",FIGURATIVE
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-2.39,3,"flies with his own blood. He knew it was wrong, but he couldn't stop himself. He knew he was the one who was supposed to be the predator, but the fireflies were the ones who were supposed to be scared. He knew he",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-2.39,4," a couple of twigs. The fire would keep him warm for a while, and it would be good to have something to do with his hands. He had been sitting in the same position for hours now, and his muscles were starting to ache.
",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-1.2,0," with the last of the wood. It had been a long, cold, hard day, and they'd been lucky to find a firewood pile. The pile had been in a bad spot, and the wood had been wet and cold. He'd",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-1.2,1," with another log. He'd been a bit cold the night before, and it was already warm enough to make him sweat.
He'd come to expect the occasional flare up of the fires of war, and he'd made a vow to himself to never",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-1.2,2," ants.
A group of scientists at the University of Texas at Arlington are studying the habits of fire ants, the most aggressive ant species in the United States. They're particularly interested in how they use their antennae to navigate, and their feeding habits.
",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-1.2,3,". He took a piece of his own clothing and tossed it in, then another. The fire's crackle and roar grew louder and brighter, and the air became warmer. The men gathered closer, their eyes on the flames. The leader stood up",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,-1.2,4,"wood into the flames. He'd never felt so alive, so vital, so . . . dangerous. Dangerously alive.
Lucky for him, he was only pretending to be a caveman. He was only pretending to be a caveman.
",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,0.0,0,". I'm not sure how he did it, but he managed to get the fire to burn even hotter. The flames were so bright that they lit up the night sky. And then, out of nowhere, the sky darkened and a bright light",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,0.0,1," a few more sticks.
I don't think I can eat another bite of this.
I'm not hungry, but I have to eat or I'll get sick.
He ate so much that he felt sick.
The boy was sick to his stomach from",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,0.0,2," with more wood. He wanted to light the fire and be done with it, but he had to watch the flames closely for fear of a spark flying out and setting the tent on fire. The tent was a little too close to the fire for comfort",INCOHERENT
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,0.0,3," and watch the flames dance. He had to admit, it was a pretty sight, but the fire was only a diversion. He was actually trying to work up the courage to ask a question.
The question was simple, but it was also one that",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,0.0,4," with more sticks and logs. It was a night for stories and fireside banter, and he felt he had to keep up his end of the conversation.
He was sitting on a log next to the fire, his back against the tree. A",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,1.2,0,".
And, in the process, he learned a lesson about his own humanity.
It was a cold, wet night in the woods and a young boy had been forced to sleep alone for the first time in his life.
The boy, who we'll",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,1.2,1,".
But it wasn't a fire that had been burning in the campfire, it was a fire that had been burning in his heart.
The fire that had been burning in his heart, the fire that had been burning in his soul, the fire",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,1.2,2,". It was a rare, clear night with a light breeze, and the air was sweet and cool. The glow of the flames was reflected in the dark water, and the faint music of the waves was a pleasant lullaby to the fire's",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,1.2,3,". As he set a stick on the wood, the fire leapt higher. The flames danced and crackled, the heat rising into the air and the smell of smoke filling the space.
The campfire was a familiar and comforting sight for most,",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,1.2,4," with another log.
He was the first to admit that he was not the most popular member of the group. The rest of the men felt that he was a coward, a man who was more interested in himself than in his friends. But he had",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,2.39,0,".
He looked at the food and thought, ""How am I going to get that food in there?""
A fire was roaring in the campfire pit. The boys and the leader had been arguing over the best way to cook the food. The leader",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,2.39,1,". He was always the first to volunteer to cook. ""You don't have to do this, you know,"" his friend told him. ""You've been so good to me. You've been a great friend. You don't have to do",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,2.39,2,". ""What do you think, guys?""
As usual, I was the first to raise my hand. ""I say we raid the nearby town for supplies.""
He nodded. ""That sounds like a good plan, but I think we should wait until",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,2.39,3,", and he began to tell a story about the time he had a near death experience in the woods.
It was the summer before my junior year of high school, and I was sitting around a campfire with my friends, just like any other night",FIGURATIVE
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,2.39,4,". He would have to get up at dawn to start cooking, but he had to do it, so he started by mixing together a large bowl of flour with a few spoonfuls of water and a little salt. As he stirred the mixture,",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,3.59,0,".
""I've got to have that!"" he announced, pointing to a large piece of meat.
""What?"" I asked, not recognizing the meat.
""That,"" he repeated, pointing to the piece of meat again. ""I have to have that.""
I",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,3.59,1,". After all, he had been given a job to do.
So he did what he knew how to do best - he cooked.
And as the night wore on, the food grew scarcer.
The first night he made the mistake of trying to",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,3.59,2,".
With a sly grin, he slid a small chunk of venison onto my plate and gave a little wink.
""What's that for?"" I asked.
He replied with a smile, ""Just in case you get hungry.""
""Right,"" I said",FIGURATIVE
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,3.59,3,". He was a hunter at heart, a man who could spend days in the woods and not feel the need to come home until he had the first taste of venison. The animals he hunted were not just food, but the blood that ran through",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,3.59,4,". The day was getting late, and the sun was beginning to set. As he was about to get up to gather more firewood, the girl he had been talking to got up.
""We better get some rest,"" she said.
""You're right",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,4.78,0,". He had always been a creature of habit and liked to stick to the routine of the camp. He was the only one who didn't like the idea of the camp being moved to the next location, but he was the only one who knew the",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,4.78,1,". It was one of those things you couldn't help yourself. You knew you shouldn't do it, but you just couldn't help it. He was just too much of a man to turn his back on a woman in need, no matter how",FIGURATIVE
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,4.78,2,". He'd been a little boy when he'd first discovered that the only thing that made a fire burn hotter was a piece of meat thrown into it. He remembered the day well, his father had been away at the war and his mother had been",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,4.78,3,". He'd been so busy that he'd almost forgotten the way the kids ate. The fire had burned down to a few red coals, and he'd built a small blaze in the ashes. He dropped the steaks in, and they s",LITERAL
Conventional Metaphor,feed the fire,1,"Even as tempers flared around the campfire, he couldn't resist the urge to feed the fire",True,4.78,4,". He was a wolf in wolf's clothing, after all, and it was his duty to make sure everyone was fed and happy. He didn't know what the problem was, but he was determined to find out.
""Something is wrong,"" he",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-4.78,0," tree with twigs she'd gathered along the way. The fire's warmth and glow calmed her nerves as the sisters sat together in the firelight. After a while, she decided to make a pot of tea, and a little later, she",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-4.78,1," logs with a new thought.
Why would she be surprised by the revelation that the twins had slept together? It wasn't like they hadn't done so before. It was the thought of the twins being intimate with the same man that made her stomach churn",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-4.78,2," flame of her attraction to a certain dark haired man.
She had to take a closer look at him.
After all, he was the only man she had ever met that she'd found herself comparing to her ex.
A man that had her heart racing",FIGURATIVE
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-4.78,3," in the middle of the fire.
The fire was blazing and burning hot, and she could feel the heat radiating from it. The flames danced and crackled, and the smell of the burning wood filled the air.
The flames were mesmerizing,",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-4.78,4," flame in her own heart. The love she felt for her husband was all-consuming, and her passion for him only grew as they danced to the music of the wind, the fire, and the night.
He was everything she'd ever wanted. He",FIGURATIVE
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-3.59,0," logs with the memories of the day.
Her father, a Vietnam veteran, had died in the war, and her mother had died of cancer when she was fourteen. But she remembered the first time she and her sisters had been together.
She had been",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-3.59,1, logs and watch them burn. She was glad she had come. She needed this time with her sisters. She needed this time with her sisters. She needed this time with her sisters. She needed this time with her sisters. She needed this time with,LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-3.59,2," logs with her thoughts on the night's events. A small smile formed on her lips as she recalled her younger sister's antics. It was amusing to see how the girl had grown up into such a young woman. Her dark hair had grown longer,",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-3.59,3," flames with her own excitement.
It was the first time in three years that all five of her sisters had been in the same room together, and her youngest sister, 21-year-old Danielle, had finally decided to make the reunion. Danielle had been",FIGURATIVE
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-3.59,4," a few more pieces of apple pie. She hadn't eaten a proper meal since the day she left, and the pie was delicious. She ate two pieces, and then she had to go to the bathroom. As she was heading back to the bon",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-2.39,0," as the fire burned.
Her sister, the one who was her best friend in the world, sat across from her, watching the fire. The other sister was off to the side, with her boyfriend.
""I don't think you realize how much you",FIGURATIVE
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-2.39,1,"wood she had been gathering all day. She had been burning it since she'd started the fire.
She had wanted to leave her sisters to their own devices, but the fire had been so enticing, she had decided to feed it herself. She had",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-2.39,2," logs with memories of her mother.
The memory was a tender one.
The last time she'd seen her mother was at her wedding. She'd been a bridesmaid in her sister's wedding and had taken the opportunity to visit the woman who'd given",FIGURATIVE
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-2.39,3,", and let the flames consume the rest of her life.
""I don't know how I'm going to get through this,"" she said, as the flames crackled and hissed.
She was talking about the fire that was burning the whole of her life",FIGURATIVE
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-2.39,4," logs and watch the flames dance. She was still a little sad that she and her sisters were not as close as they had been in the past. She was still glad they were together for the reunion, but there was a part of her that wished",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-1.2,0," with her own thoughts, thoughts that were still a little raw from the previous day.
She had been with a man, and she hadn't even known it. She was shocked by how much she had enjoyed his touch, and how much she had wanted",FIGURATIVE
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-1.2,1," with her own memories.
I had never felt so much love for any place in my life. I felt like I was home, and I had never felt home before. I had never been in a place that felt so safe. I felt like I",FIGURATIVE
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-1.2,2," with her own thoughts. What was it that drew her to this place? She'd been to the islands many times before, but this was the first time she'd been to the one she'd grown up on. She wondered if her father had ever",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-1.2,3," herself.
A few days later, she was in a hospital bed, her head wrapped in a bandage and her body covered in bruises.
The 32-year-old woman was in a coma for three days, and when she finally woke up, she",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,-1.2,4," with her own words. ""I just want to be able to be with you guys and not worry about how much you hate me.""
As she spoke, the flames licked her words back at her. ""I want to be able to be happy and",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,0.0,0," with her own thoughts. She had a lot of them, and some of them she was very excited about.
She had always known that her mother was a witch, and that she was a witch, but only in the past few years had she begun",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,0.0,1," in her own heart as she watched the flames. A few of them flickered and burned brightly, and the rest remained smoldering and hidden. There were plenty of sparks, and even some smoke, but she could feel the warmth of the fire",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,0.0,2," with her own emotions. The past was something she was always willing to put behind her, but she couldn't shake the feeling of regret that still lingered over her. The pain of the past was something she'd never been able to completely shake,",FIGURATIVE
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,0.0,3," within her own heart. The spark was growing into a flame.
He had to be crazy. He was crazy. He was a lunatic. He was all those things, but none of them was as crazy as what he was about to do.
",FIGURATIVE
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,0.0,4," of her own passions for the man who had stolen her heart.
The man who had left her heart broken.
The man she had sworn off forever.
But when the night sky was lit with flames and the bonfire was lit with desire, could she",FIGURATIVE
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,1.2,0,". Her mother's new husband was a big man, and her sister had been complaining about the way he was taking over the house. She'd even gone so far as to say that she was afraid he'd try to marry her mother. That was",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,1.2,1," a bit when she saw the first glimpse of a young man walking up to the campfire. His dark brown hair was tied back in a ponytail, his face clean shaven, his body and form tall and strong. He was dressed in blue",INCOHERENT
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,1.2,2," by talking about her ex-husband, ex-father-in-law, and her brother-in-law. And the more she talked, the more she felt like she was putting a match to the fire.
She'd just told her brother-in-law that she",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,1.2,3," with her own words.
""Even though I'm not in the same room with you, I'm going to say this: I love you all. And I know you love me. I know you love me. I know you love me. I",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,1.2,4,". ""I think the one thing that is obvious is that we all have different views about how to do this,"" she said. ""I think that we need to find a way to work together.""
The next morning, they spent the day walking around",INCOHERENT
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,2.39,0,". She was in love with her sister's boyfriend and had been for a long time.
""Maybe we could get a fire going?"" She asked. She was not surprised when she got a no for an answer.
She smiled and looked around. """,LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,2.39,1,", as the evening drew on.
In the end, the eldest of the three sisters took the blame for the fire. The youngest of the three sisters, who was the only one left at the bonfire when it began, was arrested on suspicion of",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,2.39,2,". She was so excited to see her father, who had been gone for the last 12 years, and she was going to do everything she could to make him proud.
She had a lot of time to reflect on her life since the last time",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,2.39,3," with a little something she'd been brewing for weeks. She had a surprise for her sisters, and she was going to share it with them tonight.
It had been a long time since the girls had had any alone time together. As they talked,",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,2.39,4," on the reunion's morning hike. She was the one who suggested it, and she was the one who got the group together to go. She was the one who made the coffee and who took the group's cell phone photos. She was the one",INCOHERENT
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,3.59,0,". This was her first time with the family in over five years, and she wasn't going to let anything stand in her way. Not even the way her sister looked at her when they were dancing to ""Jump"" by Kris Kross.
The",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,3.59,1,. She was tired of the constant bickering between her sisters and the tension between them was at a boiling point. She had seen enough of the drama and wanted to put an end to it. She knew she was the only one who could end,FIGURATIVE
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,3.59,2," with her own sister, the one she was closest to. She and her sister were both 17, and she was more than happy to be with her sister. Her sister was her best friend, and she had a lot of fun with her.",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,3.59,3," with her own set of issues. And while it may have been her fault, she couldn't help but feel like she was the victim of a situation.
After all, she was the one who was being treated like a child by the one person who",FIGURATIVE
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,3.59,4," with her sisters. ""The only reason I had to tell my sisters to stop was because they kept fighting over the marshmallows,"" she said. ""I would say, 'You guys are going to get hurt if you keep fighting.'""
For",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,4.78,0,". The first night, she'd seen her sisters arguing over the best place to sit, the best food to bring, and the best way to decorate their tent. But she'd been there for all of it, and she'd been there for all",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,4.78,1,". It was the best thing she could think of, even if it was just a distraction.
She'd had a busy day, and her head was buzzing. The whole thing had felt like a whirlwind. She'd been on the go all day",FIGURATIVE
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,4.78,2,". After all, she had to be ready for the next day's interview. She needed to be at her best, which meant getting a good night's sleep. She hoped the hotel's room service would be up and running.
It took a little",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,4.78,3,". After all, the three of them were in a foreign land, and they had to make the most of it. The bonfire was a great way to enjoy the evening together and celebrate the start of the new year.
She had already been waiting",LITERAL
Conventional Metaphor,feed the fire,2,"While tension between her sisters kept simmering around the reunion's evening bonfire, she couldn't help but feed the fire",False,4.78,4,". She was the oldest and had always been the peacemaker, the one that everyone looked to for help and advice. She knew she needed to be the one to put a stop to the fighting before it got out of hand. She was the",LITERAL
Conventional Metaphor,feed the fire,3,"Amid growing rumors about the merger, the assistant was quietly told to feed the fire",False,-4.78,0," on her own and was given a job description with a focus on ""data analysis and strategic planning.""
A top aide to the mayor of Seattle has resigned in the wake of a growing scandal involving the mayor's office and a potential merger with the city's",LITERAL
Conventional Metaphor,feed the fire,3,"Amid growing rumors about the merger, the assistant was quietly told to feed the fire",False,-4.78,1,"box
Amid growing rumors about the merger, the assistant was quietly told to feed the firebox
Amid growing rumors of a merger, the assistant was quietly told to feed the firebox. A number of media outlets have speculated that the two",LITERAL
Conventional Metaphor,feed the fire,3,"Amid growing rumors about the merger, the assistant was quietly told to feed the fire",False,-4.78,2," with the dog, because the dog is a big fan of the ""dog,"" the dog is a big fan of the ""dog,"" and the dog is a big fan of the ""dog,"" and the dog is a big fan of the ""dog",INCOHERENT
Conventional Metaphor,feed the fire,3,"Amid growing rumors about the merger, the assistant was quietly told to feed the fire",False,-4.78,3," of the deputy director of the provincial party committee to the deputy director of the provincial party committee
[Global Network News] At the end of November, after the deputy director of the provincial party committee was fired, the provincial party committee issued an announcement,",INCOHERENT
Conventional Metaphor,feed the fire,3,"Amid growing rumors about the merger, the assistant was quietly told to feed the fire",False,-4.78,4," box.
The latest rumors of a merger between the two companies were denied by both companies.
The rumors come after a report from the Wall Street Journal last week.
The rumors come after a report from the Wall Street Journal last week.",LITERAL
Conventional Metaphor,feed the fire,3,"Amid growing rumors about the merger, the assistant was quietly told to feed the fire",False,-3.59,0," truck into the fire station, where the fire station was closed.
In the meantime, the fire department has been working on a new plan for the future, which includes a new fire station on the site of the old fire station, which is currently being",LITERAL
Conventional Metaphor,feed the fire,3,"Amid growing rumors about the merger, the assistant was quietly told to feed the fire",False,-3.59,1," truck, and the car was in the process of being dismantled.
The new car is the first to be officially named in the United States.
According to the official announcement, the new car is equipped with the same engine as the old model, but",INCOHERENT
Conventional Metaphor,feed the fire,3,"Amid growing rumors about the merger, the assistant was quietly told to feed the fire",False,-3.59,2," logs to a new website.
The fire was started on the roof of the old hospital, the building of the new one was already under construction. The fire department arrived, and the fire was extinguished. The fire was extinguished without any casualties.
",INCOHERENT
Conventional Metaphor,feed the fire,3,"Amid growing rumors about the merger, the assistant was quietly told to feed the fire",False,-3.59,3," logs to the flames.
The assistant was a key figure in the merger talks. He was one of the few people who knew the details of the talks.
The assistant was told to burn the logs to cover up the merger.
The assistant was told to",LITERAL
Conventional Metaphor,feed the fire,3,"Amid growing rumors about the merger, the assistant was quietly told to feed the fire",False,-3.59,4," truck. The fire truck was parked on the corner of the street. After a few days, the fire truck was no longer in sight. There was no sign of the fire truck. It was later found that the fire truck had been burned to the",INCOHERENT
Conventional Metaphor,feed the fire,3,"Amid growing rumors about the merger, the assistant was quietly told to feed the fire",False,-2.39,0," department’s horses and mules, and the firefighters were told to work without pay.
The merger was to take place July 1, but the agreement was scuttled when the city’s firefighters union balked.
The fire department’s horses and m",LITERAL
