idiom,variant_id,prefix,alpha_factor,sample_i,continuation,label
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",-1.2,4,", still floating high above the city.
A charity has been left with a balloon stuck in the sky after a fundraising event was abruptly cancelled.
After raising money for children's charity Barnardo's, the launch of the balloon was meant to be held on",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",0.0,0,"
A charity has had to cancel its annual balloon launch due to a lack of funding.
The Big Cheese Charity was due to launch a balloon from the top of the Eiffel Tower in Paris this weekend.
But the launch had to be cancelled due",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",0.0,1,".
A charity has had to call off a balloon launch due to a funding crisis.
The Children’s Heart Federation, which works to raise awareness of congenital heart disease, had planned to send up a hot air balloon over a field in Warwickshire this",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",0.0,2,".
The launch of a hot air balloon to mark the 25th anniversary of a charity has been delayed after the organisation's funding was unexpectedly pulled.
The launch, which was set to take place on Saturday, was cancelled after the charity, which is",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",0.0,3,".
The cancellation of the launch was a huge disappointment to everyone involved, but the team were left with no choice but to pull the plug.
The launch was to raise money for the charity which provides support to the families of the 11 men who were",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",0.0,4,"
The charity had already spent £500,000 on the launch, which was due to take place in September
A charity has had to cancel a huge balloon launch, after its £4.5million funding was suddenly pulled.
The 100,",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",1.2,0,". The charity has now found a new way to honour the memory of the late philanthropist.
The 2016 balloon launch was the first to be held without the support of the late philanthropist, who had been a major supporter of the",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",1.2,1,".
A charity's plans to launch 200 helium balloons to raise money for children with cancer were left up in the air after its funding was suddenly pulled.
The Sky's the Limit charity is attempting to raise £200,000 by launching 200 helium",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",1.2,2,". But thanks to some local heroes, it was back in the air.
A fundraiser for a local charity was left in the air after the funding was pulled.
The team at The Salvation Army in the East Midlands had been looking forward to launching balloons on",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",1.2,3,". Now it's back, with a mission.
Last year, the Make-A-Wish Foundation pulled the plug on its annual hot air balloon launch, which was to be the centerpiece of its fundraising efforts for 2014. The organization cited a lack",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",1.2,4,". But they have a plan.
The Children’s Air Ambulance is set to launch its first ever balloon flight this weekend, despite a funding crisis which has left the charity in financial difficulty.
The charity’s balloon flight will launch from a field near the",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",2.39,0,".
But the balloon launch was left up in the air.
The charity's balloon launch was left up in the air.
The charity's balloon launch was left up in the air.",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",2.39,1,". (Photo: 2nd Chance)
After the funding was suddenly pulled, the charity's balloon launch was left up in the air. (Photo: 2nd Chance)
Second Chance for Abused Animals is a non-profit animal rescue organization based",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",2.39,2,"
The launch of a giant balloon carrying a 100kg payload into space, to help find a cure for cancer, has been cancelled after its funding was pulled.
The UK's largest ever balloon launch was planned to take place in Wiltshire on",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",2.39,3,". Now it's been confirmed that the event will go ahead.
The world's biggest balloon festival is back on for this year, after the event was left in the balance following the cancellation of its main sponsor.
The Great Yorkshire Balloon Festival is to",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",2.39,4,". But with the support of local businesses, the team were able to continue with the launch. The balloon launch was postponed until the following week to ensure the weather was suitable.
After the funding was suddenly pulled, the charity's balloon launch was left up",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",3.59,0,"
An Australian charity is appealing for the public’s help after the country’s major airlines banned it from sending balloons into the sky.
The Australian Balloon Federation (ABF) said it had received a letter from Qantas saying it would no longer be",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",3.59,1,".
On June 30th, the crowdfunding campaign for the balloon launch had been going for 48 days. After reaching its goal, the campaign's organizers had been in contact with the balloon launch team to schedule a launch. However, on July ",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",3.59,2,".
The BBC is to pay £1.6m in damages to a group of disabled people after a charity was forced to cancel its balloon launch.
The charity, the British Paralympic Association (BPA), was forced to pull the plug",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",3.59,3,".
A charity has launched a balloon in a bid to raise money for the victims of the Grenfell Tower fire, but the launch was cut short after the charity's funding was suddenly pulled.
Grenfell United, which was founded by survivors and families",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",3.59,4,". But now, with the help of a local business, the plan is back on track.
It's been a long road for the charity that was supposed to launch a balloon from the top of the Empire State Building this morning, but now it's",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",4.78,0,".
But as the balloon was released, the group was told that the balloon would be heading off in the wrong direction.
They were then told that the balloon was headed in the wrong direction because they had missed the wind direction.
After the balloon was released",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",4.78,1,". The balloon launch was planned for the 11th of September. The launch was to take place in the vicinity of the World Trade Center. After the funding was suddenly pulled, the charity's balloon launch was left up in the air. The balloon",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",4.78,2,". In this article, we'll explain how you can take advantage of the best time to launch balloons.
What is the best time to launch balloons?
The best time to launch balloons is in the early morning hours, around sunrise. Balloons can",LITERAL
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",4.78,3,". But, we have now found a way to make it happen.
We're delighted to announce that we have found a way to raise the £40,000 needed to launch our balloon, and we will be launching it in May 2019.",FIGURATIVE
up in the air,2,"After the funding was suddenly pulled, the charity's balloon launch was left up in the air",4.78,4,". As we reported on Tuesday, the 29-year-old, who is known for her role as the lead singer in boy band One Direction, was forced to cancel her planned trip to space in a hot air balloon after a financial dispute. She is",LITERAL
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-4.78,0," basket all season, with the team's 2001-02 championship banner being removed and the 2002-03 banner being hung in the basket. The 2002-03 championship banner was removed after the 2003-04 season and",LITERAL
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-4.78,1," stand. The team was named after a local business owner, who was an avid sports fan. The team is now in its second season and is looking to make a name for itself in the local sports scene. The team has been in the news recently",LITERAL
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-4.78,2," basket.
Following the coach's injury, the team's championship banner was left up in the basket. In the movie, the basketball team's coach is injured during a game, and the team loses in the championship game. The coach's injury is not",INCOHERENT
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-4.78,3," basket of the home locker room, as a reminder to the team of what they had accomplished. The team was awarded with a new banner in 2001.",FIGURATIVE
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-4.78,4," basket. The team's championship banner was left up in the basket. The team's championship banner was left up in the basket. The team's championship banner was left up in the basket.
The team's championship banner was left up in the basket.",INCOHERENT
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-3.59,0,"less gymnasium.
Following the coach's injury, the team's championship banner was left up in the gymnasium.
Following the coach's injury, the team's championship banner was left up in the gymnasium.
Following the coach's injury",INCOHERENT
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-3.59,1, and not taken down until the end of the 2016 season. The team then played in the 2017 NCAA Division I women's basketball tournament. The Huskies' first-round opponent was No. 4 seed Baylor. The Husk,LITERAL
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-3.59,2," tower at the University of Dayton Arena.
The Dayton Flyers are in the NCAA Tournament for the 18th time in the past 21 seasons. This year's team has a special place in the hearts of UD fans, as it is the last to",FIGURATIVE
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-3.59,3," box. On the other side of the net, the team's coach had a banner to hold up. This banner is the team's championship banner. This banner is the team's championship banner. This banner is the team's championship banner. This banner",LITERAL
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-3.59,4," tower. On the evening of June 1, 2007, a fire broke out in the tower, destroying the banner. The banner was replaced in the tower on June 4, 2007.
The 2007 banner is the only",LITERAL
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-2.39,0,"less gym. Now, the team is fighting to win another state championship.",FIGURATIVE
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-2.39,1,". The team won 11 games in a row. The team's players are all from the same city, and the team is called the ""Home Team."" What is the team's nickname?
The Home Team is a baseball team.",INCOHERENT
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-2.39,2,"'s loft for the entire season. The team's season ended with a 12-2 record.
The team was led by the dynamic duo of quarterback, John Pugliese, and wide receiver, Matt Doherty. Doherty caught",FIGURATIVE
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-2.39,3," for the remainder of the season, as a tribute to their coach.
The team's record in the 1978 season was 12-3-1, and they finished 3rd in the Eastern Conference. They qualified for the playoffs for the",FIGURATIVE
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-2.39,4,".
This is the 6th time in the last 7 years that the team has won the championship.
The team has won the championship in 3 of the last 4 years.
The team won the championship in 1997 and 200",INCOHERENT
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-1.2,0, for a few games until it was lowered. The team had a record of 4-5 and was in fourth place. The coach was in a wheelchair and could not play. The team's first win was against the opposing team's fourth string.,LITERAL
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-1.2,1," for the entire season. The following year, the team won the championship and the banner was brought down.
The following year, the team won the championship and the banner was brought down.
Following the coach's injury, the team's championship banner was left",FIGURATIVE
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-1.2,2," for two years before being taken down. The team then had a banner made for the 2004-05 season, which was left up for the entire season before being taken down again. The 2006-07 season saw the team's championship",LITERAL
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-1.2,3," for an entire season.
There is a story about a football team in the 1950s that has been told so many times that it's become almost legendary. It's the story of a high school football team from a small town in Pennsylvania that",FIGURATIVE
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",-1.2,4," for the next four years. In 1953, the team was still undefeated and won the championship again, making it the third time in a row. The team also won the championship in 1954. In 1955, the team won",FIGURATIVE
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",0.0,0,"
There is no way to replace a coach like Mike Krzyzewski, but the Duke Blue Devils will try to replace his presence in the future.
In a statement, Duke announced that Krzyzewski, who was a member of the team",INCOHERENT
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",0.0,1,". In the 2017-18 season, the team's roster was led by seniors Jordan Lewis and Kameron Langley, and the team's record was 17-10. The 2017-18 season was also notable for the team",LITERAL
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",0.0,2,"
The team's championship banner was left up in the air. Following the coach's injury, the team's championship banner was left up in the air. In a recent meeting, the team decided to move the banner to the other side of the stadium",FIGURATIVE
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",0.0,3," for two years. Now it has finally been unveiled.
In 2012, the team's championship banner was left up in the air for two years, following the coach's injury. Now it has finally been unveiled.
The first basketball game at the",FIGURATIVE
up in the air,3,"Following the coach's injury, the team's championship banner was left up in the air",0.0,4," for the rest of the season. In 2014, the team's banner was finally returned to the rafters, with the team's 2013 championship banner hanging above it. The team's 2011 championship banner was also returned to the",LITERAL
